tests.test_alembic_migrations.TestAlembicMigrationIsolation.test_migration_creates_tenant_schema	Requires running Alembic CLI - integration test
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_dashboard_cash_flow	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_dashboard_kpi_summary	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_dashboard_sales_trend	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_exports_status	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_orders_list	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_payments_list	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_pricing_prices	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_retailer_bindings	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_retailers_list	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_skus_list	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveEndpointSmoke.test_stock_list_endpoint	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestLiveTenantSchemaBootstrapped.test_all_required_tables_present	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestNearRealContextualJwtFlow.test_decoded_token_is_contextual_not_identity	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s3b_fresh_tenant_live_runtime_proof.TestNearRealContextualJwtFlow.test_encode_decode_roundtrip	S3-B prepared tenant prerequisites are missing for 't_u1r1_test': ['inventory_movements', 'inventory_stocks', 'ledger_entries', 'order_items', 'orders', 'payments', 'permissions', 'retailer_prices', 'role_permissions', 'roles', 'rpt_cash_flow_daily', 'rpt_receivables_summary', 'skus', 'user_roles', 'users']
tests.test_s5c_runtime_sku_import_http_integration.test_sku_import_preview_returns_401_without_token	runtime import HTTP proof requires MPANGO_RUNTIME_BASE_URL, MPANGO_RUNTIME_TEST_EMAIL, MPANGO_RUNTIME_TEST_PASSWORD, MPANGO_RUNTIME_TENANT_ID
tests.test_s5c_runtime_sku_import_http_integration.test_sku_import_preview_validate_apply_happy_path	runtime import HTTP proof requires MPANGO_RUNTIME_BASE_URL, MPANGO_RUNTIME_TEST_EMAIL, MPANGO_RUNTIME_TEST_PASSWORD, MPANGO_RUNTIME_TENANT_ID
