side,base,status,nodeid_sha256,nodeid_length,redacted_param_prefix
run1_only,tests/test_u4d_intake_parser_preview.py::test_parser_rejects_csv_and_xlsx_cell_length,passed,8567c54eb269db3ce80c47a11a0cfa9db3356f16231d5986c85e02ab994dd9e7,13955,cell_too_large.xlsx-PK<xlsx-bytes>
run1_only,tests/test_u4d_intake_parser_preview.py::test_parser_rejects_csv_and_xlsx_column_limit,passed,57f5a32affc541c60eb255be883daee024171fdea53a3bff70b17d109a883234,15391,too_many_columns.xlsx-PK<xlsx-bytes>
run1_only,tests/test_u4d_intake_parser_preview.py::test_parser_rejects_csv_and_xlsx_header_length,passed,9a18c42359e7cedc5d5ffd022fb2a085460f5b5874a9a9ade9df6124cc65de84,13867,header_too_large.xlsx-PK<xlsx-bytes>
run1_only,tests/test_u6i3_owner_credential_setup_consume.py::test_invalid_or_missing_raw_token_fails_neutrally,passed,0ca65339c76935c40522919a9f0137ab1f0530e9cd92af9af3e97243756f1afd,147,u6i3-missing-<token-redacted>
run2_only,tests/test_u4d_intake_parser_preview.py::test_parser_rejects_csv_and_xlsx_cell_length,passed,3db1bc4bb662b3ab5ed40dd6b7665ff22a1ea711783d2b365896ac6e66bf09f8,14003,cell_too_large.xlsx-PK<xlsx-bytes>
run2_only,tests/test_u4d_intake_parser_preview.py::test_parser_rejects_csv_and_xlsx_column_limit,passed,9d7e95f61229a886217ea35cf9b343ed76f6387f5935af1d49d631e08e88d3c4,15439,too_many_columns.xlsx-PK<xlsx-bytes>
run2_only,tests/test_u4d_intake_parser_preview.py::test_parser_rejects_csv_and_xlsx_header_length,passed,f90db82d120ce27748f2d66464817153c707610ee6d505f99574d46ee2d72c16,13915,header_too_large.xlsx-PK<xlsx-bytes>
run2_only,tests/test_u6i3_owner_credential_setup_consume.py::test_invalid_or_missing_raw_token_fails_neutrally,passed,e02aefb08b53081c73fb2bc957355725f3da010970a94d7441f2a15d520be067,147,u6i3-missing-<token-redacted>
